Dataset,Method,Seed,Best Test Accuracy
N/A,Baseline,N/A,
IMDB-BINARY,Baseline,2048,
IMDB-BINARY,Baseline,123,0.785
IMDB-BINARY,LLM-Enhanced,2048,0.69
IMDB-BINARY,Baseline,42,0.77
IMDB-BINARY,Baseline,123,0.785
IMDB-BINARY,LLM-Enhanced,0,0.685
IMDB-BINARY,LLM-Enhanced,42,0.78
IMDB-BINARY,Baseline,0,0.75
IMDB-BINARY,Baseline,2048,0.7
IMDB-BINARY,Baseline,1024,0.76
IMDB-BINARY,LLM-Enhanced,1024,0.77
IMDB-BINARY,Baseline,42,0.77
IMDB-BINARY,Baseline,0,0.75
IMDB-BINARY,Baseline,1024,0.76
IMDB-BINARY,LLM-Enhanced,123,0.785
MUTAG,LLM-Enhanced,2048,0.9211
MUTAG,Baseline,2048,0.8684
MUTAG,Baseline,0,0.8947
MUTAG,Baseline,42,0.8158
MUTAG,LLM-Enhanced,0,0.9737
MUTAG,LLM-Enhanced,123,0.8947
MUTAG,LLM-Enhanced,42,0.8684
MUTAG,Baseline,123,0.9474
MUTAG,Baseline,1024,0.8947
MUTAG,LLM-Enhanced,1024,0.9211
PROTEINS,Baseline,42,0.7713
PROTEINS,LLM-Enhanced,1024,0.7399
PROTEINS,LLM-Enhanced,42,0.7982
PROTEINS,Baseline,0,0.8117
PROTEINS,Baseline,2048,0.7713
PROTEINS,LLM-Enhanced,0,0.8296
PROTEINS,LLM-Enhanced,2048,0.7848
PROTEINS,LLM-Enhanced,123,0.7848
PROTEINS,Baseline,123,0.7713
PROTEINS,Baseline,1024,0.7713
N/A,Baseline,N/A,
MUTAG,LLM-Enhanced,42,
MUTAG,LLM-Enhanced,42,0.7632
MUTAG,LLM-Enhanced,42,0.7632
MUTAG,LLM-Enhanced,42,0.8421
MUTAG,LLM-Enhanced,N/A,0.8947
MUTAG,LLM-Enhanced,42,0.8684
MUTAG,Baseline,42,0.8158
MUTAG,LLM-Enhanced,42,
MUTAG,LLM-Enhanced,42,
